epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,12485.1,0.98095,2.54978,1.04106,1.31755,0.60747,0.31642,0.33492,0.19392,0.51265,0.2881,0.2717,0.13242,1.24872,2.82126,4.8356,1.46347,0.0012278,0.0012278,0.0012278
41,12833.4,0.98673,2.54839,1.04506,1.32275,0.57303,0.329,0.34005,0.20164,0.5061,0.29182,0.27409,0.13679,1.14495,2.64728,4.81907,1.37427,0.001208,0.001208,0.001208
42,13181.9,0.97741,2.55192,1.03518,1.31602,0.55704,0.35295,0.34973,0.19936,0.43728,0.31599,0.26713,0.13088,1.15963,2.73962,6.28904,1.3939,0.0011882,0.0011882,0.0011882
43,13530.3,0.97574,2.52483,1.03593,1.30821,0.53491,0.33457,0.34064,0.19865,0.37014,0.34944,0.27095,0.13789,1.19145,2.60958,5.47905,1.42625,0.0011684,0.0011684,0.0011684
44,13878,0.97638,2.53733,1.03017,1.30887,0.58891,0.30089,0.32574,0.18509,0.46572,0.25651,0.24321,0.11424,1.12837,2.63142,4.33482,1.35976,0.0011486,0.0011486,0.0011486
45,14225.9,0.96946,2.5026,1.01119,1.30623,0.5835,0.34572,0.34366,0.20143,0.50293,0.2974,0.27417,0.13971,1.24385,2.645,4.77169,1.48226,0.0011288,0.0011288,0.0011288
46,14573.9,0.94806,2.48547,0.99817,1.29724,0.55068,0.32528,0.33015,0.19939,0.476,0.29926,0.27289,0.13858,1.13627,2.61105,4.74204,1.38421,0.001109,0.001109,0.001109
47,14922,0.95084,2.46466,0.99555,1.29845,0.50033,0.32342,0.31514,0.18508,0.41886,0.27509,0.23737,0.11891,1.21995,2.92531,5.39918,1.43924,0.0010892,0.0010892,0.0010892
48,15269.8,0.96175,2.49071,0.9968,1.30212,0.55906,0.32714,0.33078,0.19467,0.49504,0.28253,0.26752,0.13574,1.16336,2.61102,5.4356,1.38891,0.0010694,0.0010694,0.0010694
49,15618.5,0.95394,2.47773,0.9934,1.29666,0.57053,0.31227,0.31513,0.18285,0.50546,0.28253,0.2619,0.1327,1.25513,2.6609,6.15305,1.44854,0.0010496,0.0010496,0.0010496
50,15966.5,0.94077,2.4458,0.96962,1.28517,0.57546,0.32528,0.32859,0.19601,0.44786,0.30669,0.26798,0.13789,1.19634,2.71975,4.39948,1.41151,0.0010298,0.0010298,0.0010298
51,16315.5,0.94151,2.4431,0.97415,1.28679,0.61405,0.33457,0.34633,0.20795,0.4599,0.3118,0.27614,0.14415,1.14817,2.514,4.69849,1.40107,0.00101,0.00101,0.00101
52,16663.4,0.9422,2.42282,0.95299,1.28548,0.54582,0.33507,0.33561,0.20139,0.4791,0.30669,0.27648,0.13891,1.21064,2.8139,4.74036,1.4231,0.0009902,0.0009902,0.0009902
53,17012.4,0.93175,2.39548,0.94797,1.2785,0.46381,0.3829,0.33845,0.20643,0.4299,0.33078,0.26943,0.14185,1.32099,2.9834,5.45099,1.56895,0.0009704,0.0009704,0.0009704
54,17361.1,0.93192,2.39231,0.9323,1.27444,0.53674,0.36059,0.35216,0.21256,0.48466,0.32528,0.2891,0.14648,1.20533,2.82472,6.64999,1.43084,0.0009506,0.0009506,0.0009506
55,17709.8,0.93035,2.40035,0.94724,1.27727,0.61857,0.30112,0.33891,0.20767,0.41317,0.329,0.28897,0.14762,1.19757,2.70705,6.52175,1.40944,0.0009308,0.0009308,0.0009308
56,18057.6,0.93246,2.40322,0.94975,1.2747,0.53574,0.33457,0.34251,0.2102,0.44522,0.3197,0.29508,0.14925,1.20151,2.76876,4.54448,1.44884,0.000911,0.000911,0.000911
57,18405.5,0.92283,2.38538,0.93272,1.26985,0.57,0.33086,0.35062,0.22042,0.47064,0.33457,0.30096,0.16071,1.17033,2.66126,6.12332,1.39172,0.0008912,0.0008912,0.0008912
58,18753.5,0.91248,2.36393,0.91987,1.26712,0.54412,0.32528,0.33301,0.19969,0.42536,0.31041,0.26845,0.13553,1.22886,2.87291,5.34905,1.45799,0.0008714,0.0008714,0.0008714
